"course_code","course_title","department","credits","description"
"AAS 100","African American Studies Seminar","AAS-African American Studies Courses","1 Hour.","AAS 100is an initial course that introduces new majors and minors to the field and the African American Studies Program. Emphases will be placed on exploring the history and development of the AAS Program, major and minor requirements, internship and service learning opportunities and career options. Required of all new majors & minors."
"AAS 150","Let’s BMEN","AAS-African American Studies Courses","1 Hour.","Given the historical and current retention rate at colleges/universities in the U.S.; this class is designed to assist young scholars in navigating an academic environment. This course will explore issues such as masculinity, cultural identity, leadership and education relative to African American males. It seeks to provide students with tools and strategies that can be employed as they matriculate though their college experience."
"AAS 165","Jazz Styles: History and Appreciation","AAS-African American Studies Courses","3 Hours.","American jazz with emphasis on instrumental and vocal performers, jazz bands, and combos.  Development of big band, swing, and popular music."
"AAS 200","Introduction to African-American Studies","AAS-African American Studies Courses","3 Hours.","Examination of seven core areas of African American Studies: History, Religion, Social Organization, Politics, Economics, Creative Production, and Psychology.  Emphasizes major thematical theoretical and critical discourses of Black Studies, and its emergence as a political/social movement and discipline.  Relates the latter to the complexity and diversity of contemporary movements such as Civil Rights, Free Speech, Black Power, and Afro-centricism. Majors and minors in African American Studies should complete this course before enrolling in any higher level AAS course. Ethics and Civic Responsibility are significant components of this course. This course meets Blazer Core Curriculum History & Meaning with a flag in Global/Multi-Cultural Perspectives."
"AAS 201","Honors Introduction to African American Studies","AAS-African American Studies Courses","3 Hours.","An advanced study of African American Studies as a discipline. Examines the seven core areas of the field with an emphasis on the major theories, critical discourses, and the emergence of Black Studies as a field of inquiry."
"AAS 220","History of Sport: The African American Experience","AAS-African American Studies Courses","3 Hours.","This course provides a socio-cultural and historical overview of the African American athletes (male and female) that contributed to sports as we know them today. Focus will begin on the historical figures that helped shape sports culture and will continue into discussions about the role African-Americans play in collegiate and professionals sports today."
"AAS 223","African-Amer Hist to Civil War","AAS-African American Studies Courses","3 Hours.","Survey of  the African American experience from Pre-Colonial Africa to the End of the Civil War."
"AAS 224","African American History Since 1865","AAS-African American Studies Courses","3 Hours.","Survey of late 19th century to present African American history."
"AAS 235","Introduction to African History and Culture","AAS-African American Studies Courses","3 Hours.","Media representations of an uncivilized Africa marked by political instability, hunger and wars is pervasive. This introductory course on African culture and History takes the student on a journey of Africa from “inception” to date. The course will explore early empires of Africa and Africa’s rich political and cultural traditions, diversity, conflicts and religion. This course will analyze historical events like the Transatlantic slave trade, the scramble for, and partition of Africa, colonialism and neo-colonialism on the African Continent, the struggle for independence and the role of America in emergent African Nations; and current events like the role of the African Union, ECOWAS and other regional organizations and the influence of Africa in world politics. It will also introduce Students to African Diaspora – causes, patterns and peculiar conflicts of diasporic existence and assimilation into American culture and society. The course serves as a launching pad to understanding Black and African-American studies."
"AAS 250","Special Topics in African-American Studies","AAS-African American Studies Courses","3 Hours.","Specific topic in African American Studies."
"AAS 260","History of Afro-Latin America","AAS-African American Studies Courses","3 Hours.","This course surveys the history of those countries of Latin America, e.g. Cuba, Brazil and Colombia, that comprise the heart of the New World's African diaspora, having received most of the roughly 10 million Africans brought to Latin American shores during the centuries-long transatlantic slave trade. It explores the dramatic experiences of Afro-Latin Americans including their roles in the destruction of slave systems, creation of nations based on democratic principles, and rise of vibrant multicultural societies."
"AAS 273","The Black Power Movement","AAS-African American Studies Courses","3 Hours.","The Black Power Movement remains one of the most compelling—and misunderstood—elements of African American History. Since the 1960s, critics have—at best—accused Black Power of distracting attention from more productive endeavors, betraying the promise of civil rights, and dividing an interracial coalition of sympathetic liberals. At worst, opponents have attacked Black Power as a foolish, racist, and violent threat to white America, the state, and the Black Freedom Struggle itself. Participants and scholars, however, tell a different story. Rather than divisive and destructive, the Black Power Movement was unifying and creative. Rather than betraying a winning civil rights coalition, Black Power exposed and challenged the limitations of white allies and liberal reform. Rather than a radical break with the past, Black Power represented a new articulation of old traditions of race pride and self-determination. Accordingly, this course favors a deep historical context. We begin with the Nineteenth-century roots of Black Nationalism and black radicalism and move chronologically through the 1970s. Seeking to restore the distorted legacy of the Black Power movement, however, we also explore its shortcomings, lest its lessons for the Freedom Struggle in the present day go unexamined. Finally, this course also adopts a subtitle—“In Their Own Words”—to foreground and elevate the voices of historical actors, allowing the ideas and debates at the heart of Black Power to breathe in the 21st century. Each session will combine collective discussion of the readings and group analysis of primary sources with an abbreviated lecture."
"AAS 290","Writing in African American Studies","AAS-African American Studies Courses","3 Hours.","Course offers students continued practice in reading, research, and writing central to academic investigation and to interdisciplinary approaches.  Develops skills in writing across disciplines and critical thinking.  Emphasizes readings on diverse, contemporary, and multicultural issues in African American Studies. Writing, Ethics and Civic Responsibility are significant components of this course."
"AAS 300","African American Music","AAS-African American Studies Courses","3 Hours.","Survey, history and appreciation of African derived music and its presence in the United States from its earliest forms in spirituals, blues and jazz to contemporary forms of be-bop, hip-hop, reggae, and rap."
"AAS 301","History and Tradition of Gospel Music","AAS-African American Studies Courses","3 Hours.","The purpose of this course is to broaden the knowledge of American Gospel Music history and to identify the valuable contributions of this genre by studying its eras and major contributors."
"AAS 310","Black Image: Screen and Television","AAS-African American Studies Courses","3 Hours.","History and definition of the image of the African-ancestored people in the United States through cinema and television."
"AAS 311","Race and Representation in Media","AAS-African American Studies Courses","3 Hours.","The course critically assesses the depiction of race in various visual media presentations. It explores how race is projected in media and how these media structures can create, support stereotypes of race and perpetuate social inequalities."
"AAS 320","African Identity/Personality","AAS-African American Studies Courses","3 Hours.","This course is a study of the African identity, personality, and the concept of ¿blackness¿ with particular emphasis on what it means to be black in America.  An adequate discourse on the complexities of African American Studies requires a multi-disciplinary approach that considers the expansive nature of the African Experience in North America. Accordingly, any substantive intellectual and scholarly foundation for critically understanding the salient areas of this course require the application of cross-discipline areas of study involving race, culture, socioeconomics, history, African American political behavior, and psychosocial theories of development. Quantitative Literacy is a significant component of this course."
"AAS 325","Black Psychology","AAS-African American Studies Courses","3 Hours.","This courses examines and explores theory, research, and practice related to the study of psycho-social experiences from the worldview of Africans in America."
"AAS 330","African Aesthetics and Traditional Religion","AAS-African American Studies Courses","3 Hours.","African aesthetics, African cosmology, and qualities of African spirituality."
"AAS 331","African Diasporic Traditions","AAS-African American Studies Courses","3 Hours.","This course interrogates oral, written and performance discourse pertaining to the life-worlds of people of African descent on the continent and the diaspora. The purpose of this course is to analyze the customs and traditions of African descended people around the globe. It investigates aspects of African cultures that have endured despite its dispersal throughout the New World. The course examines the cultural footprints and impact that African culture has made on Western civilization by exploring African diasporic music, religions, literature, political thought, and social movements."
"AAS 335","The Psychology of Hip Hop","AAS-African American Studies Courses","3 Hours.","Psychology of Hip Hop uses hip hop music and culture as conceptual lenses for analyzing and interpreting the life experiences of people of African descent throughout the African diaspora. Drawing mainly on psychology as well as other social sciences, this course is intended to provide students with an understanding of the psycho-historical and psycho-social development of African Americans relative to hip hop culture. This course explores and examines the thesis that African American music is an expression of African American life. Thus hip hop music and culture serve as soundtracks that allow the opportunity to listen to and learn from this particular manifestation of what W. E. B. Du Bois called the souls/psychology of Black folk."
"AAS 345","Pulpits in Protest: Social Change Speeches from the Black Church and Beyond","AAS-African American Studies Courses","3 Hours.","This course is largely constructed around the study and the discussion of four major social movements involving African Americans and the protest speeches, sermons, and songs given by women and men from the Black Church and beyond. The course demonstrates the power of oration and rhetoric and how this medium was leveraged to expose oppression and bring about social change of the oppressed. The course is organized chronologically with an emphasis on the ideas of black social thought within the black church, political protest, and the speeches, sermons, and songs given in a particular movement with efforts to initiate social change."
"AAS 346","Race, Rhetoric, and Resistance","AAS-African American Studies Courses","3 Hours.","This course is a study and discussion of race, protest movements, and the rhetoric, speeches, sermons, and music during four (4) major social movements involving African Americans. The course is organized chronologically with an emphasis on the ideas of black social thought in America."
"AAS 350","Research Methods in African American Studies","AAS-African American Studies Courses","3 Hours.","Research Methods in Africana Studies will introduce students to a general conceptual framework for ordering the social theories and methods that people of African descent have used to interpret and understand Africana life experiences.Prerequisites:AAS 200[Min Grade: C]"
"AAS 366","African American Literature II","AAS-African American Studies Courses","3 Hours.","Cultural values from James Baldwin in 1950s, through black nationalist, civil rights, and black feminist movements, to contemporary writers such as Ishmael Reed, Charles Johnson, and Toni Morrison.Prerequisites:EH 101[Min Grade: C] and (EH 102[Min Grade: C] orEH 107[Min Grade: C]) andAAS 200[Min Grade: C]"
"AAS 385","The History of Haiti","AAS-African American Studies Courses","3 Hours.","The course is an examination of the history of Haiti from slavery through the twentieth century to gain a broader understanding of the country and to develop the tools to critically challenge these dominant narratives and stereotypes about the country."
