"subject","course_code","course_name","description","credits"
"Accounting","ACTG 5110","Advanced Financial Accounting","3  Prerequisites: ACTG 3120 or ACTG 6020 or equivalent with a minimum grade of C (2.0). Extensive coverage of consolidated financial statement preparation. Financial accounting topics including advanced partnerships, interim financial reporting, segment reporting, and foreign currency issues. Readings from professional journals and research related to current accounting issues.","3"
"Accounting","ACTG 5310","Accounting for Decision Making","3  Prerequisites: ACTG 3310 or ACTG 6030 or equivalent with minimum grade of C (2.0). In-depth analysis of costs; quantitative concepts relating to management objectives, control, and planning. Cost analysis and management accounting practices and problems using a variety of problem sets, statistical techniques, case studies, computer applications, and other materials.","3"
"Accounting","ACTG 5510","Accounting Systems","3  Prerequisites: ACTG 2120 or ACTG 2125 or ACTG 6010 or equivalent with minimum grade of C (2.0). An introduction to accounting information systems in a variety of technological environments. Emphasis on business process modeling, accounting cycle controls, and database design and implementation.","3"
"Accounting","ACTG 5530","Federal Taxes I","3  Prerequisites: Graduate standing and permission of department chair. Addresses determination of taxable income for individuals; federal income tax returns and research methods.","3"
"Accounting","ACTG 5550","Introduction to Federal Income Tax","3  Prerequisites: ACTG 3110 or ACTG 6020 or equivalent with minimum grade of C (2.0). Federal income tax concepts applicable to business entities (C corporations, S corporations, partnerships, limited liability companies, and sole proprietorships) and individuals. Emphasizes the role taxes play in business and investment decisions.","3"
"Accounting","ACTG 5610","Financial Reporting for Governmental and Not-for-Profit Entities","3  Prerequisite: ACTG 3110 or ACTG 6020 or equivalent with a minimum grade of C (2.0). Accounting principles for state and local governments and not-for-profit entities; financial statement preparation and analysis for government and not-for-profit entities, including specialized industries such as healthcare, education and utilities; and federal government accounting.","3"
"Accounting","ACTG 5620","External Auditing I","3  Prerequisites: ACTG 3120 and ACTG 4510 or ACTG 6020 and ACTG 6030 or equivalent with minimum grades of C (2.0). Applications of theory and principles of external auditing. Includes audit planning, risk assessment, evaluations of internal controls and evidence, substantive audit procedures applied to business processes, and preparation of audit reports. (Recommended for CPA exam candidates.)","3"
"Accounting","ACTG 5640","Internal Auditing","3  Prerequisites: ACTG 3110 or ACTG 6020 or equivalent with a minimum grade of C (2.0). Application of internal auditing concepts. Includes gathering and analyzing company data, assessing risk, applying professional and ethical standards, performing statistical sampling, and preparing internal audit reports. (Recommended for CIA exam candidates.)","3"
"Accounting","ACTG 5680","Forensic Accountancy and Fraud Auditing","3  Prerequisite: ACTG 4510 or ACTG 5510  or ACTG 6030 or equivalent with minimum grade of C (2.0). Practice of forensic accounting, i.e., nontraditional investigative aspects of accountancy (e.g., litigation support, business interruptions, etc.); emphasis on fraud prevention and the detection of fraudulent intent to obtain improper individual or group gains.","3"
"Accounting","ACTG 5840","Study Abroad","3  Prerequisites: Graduate standing and completion of core courses in respective field as determined by graduate business studies. A short-term international business
education experience designed to expose the student to the economic, political, cultural, and social environments of a foreign country(ies), with specific emphasis directed toward the international state/status of the subject matter pertinent to the discipline.","3"
