"course_code","course_title","department","credits","description"
"AC 500","Financial Accounting I","AC-Accounting","3 Hours.","Accounting cycle, environment of financial accounting, conceptual framework of financial accounting, financial statements, time value of money, cash and receivables. Enrollment requires permission of the M.Ac. Program Director."
"AC 501","Cost Accounting","AC-Accounting","3 Hours.","Basic Theory and procedures involving cost determination, analysis, and control. Cost allocations, applications of overhead, budgeting, standard costs, job order, process and byproduct costing, spoilage, and quantitative techniques.Enrollment requires permission of M.Ac. Program Director."
"AC 502","Income Taxation I","AC-Accounting","3 Hours.","Introduction to income taxation, covering key concepts such as tax models, gross income, deductions, credits, and property transactions. Students gain practical knowledge to effectively manage tax liabilities.Prerequisites:AC 300[Min Grade: C]"
"AC 504","Accounting Information Systems","AC-Accounting","3 Hours.","Transaction processing cycles of accounting system; internal control, development, and control of information systems; emerging development of information technology. Enrollment requires permission of the M.Ac. Program Director."
"AC 510","Financial Accounting II","AC-Accounting","3 Hours.","Continuation ofAC 500. Inventories, plant assets, intangible assets, current liabilities, long term debt and stockholders' equity, dilutive securities, earnings per share, and investments. Enrollment requires permission of M.Ac. Program Director."
"AC 513","Internal Auditing","AC-Accounting","3 Hours.","Dive into the dynamic world of internal auditing, where you will master the art of enhancing organizational operations, reporting and compliance through systematic evaluations. This course unveils the secrets of governance, risk management, and controls, while also exploring fraud risks and the diverse services offered by internal auditors.Prerequisites:AC 304[Min Grade: C]"
"AC 514","Governmental and Not-for-Profit Accounting","AC-Accounting","3 Hours.","Accounting and financial reporting for state and local governments, colleges and universities, hospitals, and not-for-profit organizations including a focus on budgetary and fund accounting and external financial reporting.Prerequisites:AC 309[Min Grade: C]"
"AC 523","External Auditing","AC-Accounting","3 Hours.","Study of the external audit function and the essential standards that govern audit practices.Prerequisites:AC 300[Min Grade: C]"
"AC 530","Intermediate Accounting III","AC-Accounting","3 Hours.","Examine advanced financial accounting topics, including long-term contracts, lease accounting, income taxes, and share-based compensation. Gain an overview of pension and post-retirement benefits accounting, and delve into the reporting requirements for earnings per share, accounting changes, and error corrections. Prepares students to navigate complex real-world financial reporting issues.Prerequisites:AC 310[Min Grade: C]"
"AC 564","Accounting Internship","AC-Accounting","3 Hours.","Work experience enabling students to better integrate academic knowledge with practical applications by exposure to accounting practice and business environment.Prerequisites:AC 300[Min Grade: B] andAC 304[Min Grade: C]"
"AC 572","Information Technology Auditing","AC-Accounting","3 Hours.","Introduction to the practice of information technology auditing. An emphasis is placed on information technology auditing standards and methodology, as well as guidance on auditing general computer controls and application controls."
"AC 573","Fraud Examination","AC-Accounting","3 Hours.","Advanced forensic accounting concepts with a primary focus on occupational fraud and abuse--its origins, perpetration, prevention, and detection."
"AC 580","Corporate Financial Reporting and Analysis","AC-Accounting","3 Hours.","Business combinations, consolidated financial statements, multinational accounting, partnerships, and accounting technologies used by accounting practitioners.Prerequisites:AC 430[Min Grade: C] orAC 530[Min Grade: C]"
"AC 590","Advanced Topics in Accounting","AC-Accounting","3 Hours.","Contemporary professional accounting issues."
"AC 600","Financial Accounting Research","AC-Accounting","3 Hours.","Consideration of recent pronouncements from various authoritative bodies such as the FASB and SEC through research projects and case discussions."
"AC 606","Advanced Auditing and Attestation","AC-Accounting","3 Hours.","Development of auditing to its present statue; authoritative bodies influencing auditing; new developments.  Preq:  Admission to M.Ac. program or graduate standing and approval of the M.Ac. program director."
"AC 607","Seminar in Financial Accounting","AC-Accounting","3 Hours.","This course provides an integrated understanding of the financial accounting and reporting issues for companies, not-for-profit organizations, and governments, with a particular emphasis on identifying issues, analyzing facts, evaluating the accounting literature, and determining the appropriate response.Prerequisites:AC 310[Min Grade: C] orAC 510[Min Grade: C]"
"AC 608","Advanced Topics in Taxation","AC-Accounting","3 Hours.","This course provides an integrated understanding of the federal taxation of individuals, entities, and property transactions. A particular emphasis will be placed on identifying issues, analyzing facts, evaluating the accounting literature, and determining the appropriate response.Prerequisites:AC 402[Min Grade: C] orAC 502[Min Grade: C]"
"AC 609","Professional Standards for CPAs","AC-Accounting","3 Hours.","This course provides an integrated understanding of the audit, attestation, review, compilation, and other standards followed by CPA firms during professional engagements for companies, not-for-profit organizations, and governments, with a particular emphasis on identifying issues, analyzing facts, evaluating the professional literature, and determining the appropriate response.Prerequisites:AC 423[Min Grade: C] orAC 523[Min Grade: C]"
"AH 701","Administrative Theory","AH-Administration Health Services","3 Hours.","History of, recent contributions to, and current issues in administrative theory and management; focus on evolution of management thought and research and on developing areas of research interest that will contribute to field."
"AH 703","Philosophy of Science","AH-Administration Health Services","3 Hours.","Systems of thought and activities in theory-building process, deriving hypotheses from literature, understanding scientific theory, philosophy of science; applications to health services administration."
"AH 705","Health Care Finance","AH-Administration Health Services","3 Hours.","Financial management functions, third-party reimbursement, determination of costs and charges, analysis of financial positions, working capital management, budgeting, capital expenditure analysis, and case studies."
"AH 706","Strategic Management Theory and Research","AH-Administration Health Services","3 Hours.","Current and historically important research in field of strategic management, including major streams of research, role of strategic management in management disciplines, relationships to other disciplines, and pedagogical approaches used in graduate and undergraduate strategy courses."
"AH 707","Research Methods","AH-Administration Health Services","3 Hours.","Issues of research design and research methods for organizational studies and health services research; integration of knowledge from quantitative courses with areas of research interest in students' chosen fields."
"AH 710","Comparative Health Systems","AH-Administration Health Services","3 Hours.","This course allows students to compare the U.S. health care delivery system with approaches used in other countries and to identify health system reform efforts occurring in selected global regions.  Emphasis will be placed on the role of the health system within selected forms of government and at various levels of economic development."
"AH 712","Research in Organizational Behavior","AH-Administration Health Services","3 Hours.","Examination of topics and empirical research in organizational behavior; emphasis on important issues in field, including areas of controversy and contemporary interest.Prerequisites:AH 706[Min Grade: C]"
"AH 715","Research in Organizational Theory","AH-Administration Health Services","3 Hours.","Topics and research in organization and management theory applied to health services organizations, including organization-environment relations, population ecology, interorganization relations, and strategic alliances."
"AH 716","Macroenvironmental Analysis","AH-Administration Health Services","3 Hours.","Examination of research literature that addresses external and internal environmental factors affecting strategic management.Prerequisites:AH 706[Min Grade: C]"
"AH 720","Continuing Seminar","AH-Administration Health Services","2 Hours.","Presentations by faculty and Ph.D. candidates concerning issues in particular areas of specialization. May be repeated for credit."
"AH 722","Regression Analysis","AH-Administration Health Services","3 Hours.","Various approaches to regression analysis, including ordinary least squares and probability models, such as logit and probit."
"AH 727","Applied Multivariate Statistic","AH-Administration Health Services","3 Hours.","This is a survey course on the application of multivariate techniques in health care management research. The course focuses on application of multivariate statistical methods to health administration research questions, with emphasis on interpretation within real healthcare management problems."
"AH 755","Dissemination and Implementation Science in Health Care","AH-Administration Health Services","3 Hours.","Historical, scientific, and theoretical underpinnings of dissemination and implementation science; conceptual and methodological challenges of conducting dissemination and implementation science research."
"AH 760","Foundations for Health Policy Research and Evaluation","AH-Administration Health Services","3 Hours.","Provide historical, theoretical, and analytical foundations to conduct research in health policy."
"AH 770","Special Topics in Administration - Health Services","AH-Administration Health Services","1-4 Hour.","Exploration of current issues in Administration - Health Services."
"AH 772","Grant Writing for Dissemination & Implementation Scientists","AH-Administration Health Services","3 Hours.","In-depth examination of the research designs, measures, and approaches typically applied in dissemination and implementation science research studies.Prerequisites:AH 755[Min Grade: C] andAH 774[Min Grade: C]"
"AH 774","Advanced Methods in Dissemination & Implementation Science","AH-Administration Health Services","3 Hours.","In-depth examination of the research designs, measures, and approaches typically applied in dissemination and implementation science research studies.Prerequisites:AH 755[Min Grade: C]"
"AH 775","Strategic Planning and Management Health Care Organizations","AH-Administration Health Services","3 Hours.","Assessment of strategic management literature applied to health services organizations, exploration of strategy formulation, strategic content, and implementation and evaluation of topics for health care organizations.Prerequisites:AH 706[Min Grade: C]"
"AH 777","Mixed Methods Research I: Introduction","AH-Administration Health Services","3 Hours.","Introduction to mixed methods research: essence of mixed methods research, rationale for using it, fundamental principles and key characteristics, major design applications, and means of assessing the quality of mixed methods inferences."
"AH 778","Mixed Methods Research II: Designing and Conducting Mix Mthds Study","AH-Administration Health Services","3 Hours.","Knowledge and skills of designing and conducting mixed methods studies in social and health sciences: types of research problems addressed, specification of mixed methods purpose statements and research questions, types of mixed methods designs, data collection and analysis strategies within mixed methods designs, procedures for reporting and evaluating mixed methods studies, and visually presenting mixed methods procedures."
"AH 779","Mixed Methods Applications in Action and Community-Based Participatory Research","AH-Administration Health Services","3 Hours.","Overview of how mixed methods can be applied in designing and conducting community-based action research studies: community-based action research, its purposes and cross-disciplinary utilization; a mixed methods methodological framework for action research; steps in designing and conducting mixed methods action research studies in community settings; specific types of mixed methods action research designs; sampling, data collection, analysis, validation, and evaluation of mixed methods action research projects."
"AH 783","Writing Effective Mixed Methods Grant Proposals","AH-Administration Health Services","3 Hours.","Logistics of developing competitive mixed methods grant applications for K and R type funding mechanisms; special focus on specific aims, innovation and significance, research plan, human subject protection, project team, resources, and budget; integrating multiple methods and data sources, establishing analytical rigor, and addressing reviewer feedback."
"AH 785","Qualitative Research: Analysis and Interpretation","AH-Administration Health Services","3 Hours.","Applied knowledge of data analysis and interpretation in qualitative inquiry as related to its five basic approaches (narrative, case study, ethnography, grounded theory, and phenomenology). Students will develop basic skills in using qualitative research software NVivo for data organization, management and analysis."
"AH 788","Independent Studies","AH-Administration Health Services","3 Hours.",""
"AH 790","Independent Study and Research","AH-Administration Health Services","1-12 Hour.","Independent Study and Reserch in Administration Health Services. Can be taken from 1-12 hours graduate credit."
"AH 798","Non-Dissertation Research","AH-Administration Health Services","1-9 Hour.","Non dissertation research credits. Can be taken for 1 to 9 graduate credits."
"AH 799","Dissertation Research","AH-Administration Health Services","1-9 Hour.","Dissertation Research. Must be admitted to doctoral candidacy. Must have 2 semesters before graduation.Prerequisites:GAC Z"
"HA 599","Professional Development","AH-Health Administration","0 Hours.","Professional development experiences associated with the MSHA degree program."
"HA 602","Introduction to Health Care Systems","AH-Health Administration","3-4 Hours.","U.S. health care system. Historical context; systems theory; analysis of organizational components; health services personnel; national, state, and local government roles; financing mechanisms; demography; mortality and morbidity; quality assurance; political issues; and trends in progress. Individual and group projects and field trips."
"HA 605","Health Policy and Politics in the U","AH-Health Administration","S..  3 Hours.","Policy-making process in U.S. Review of forces influencing policy-making, legislative process, and evolution of U.S. health policy."
"HA 606","Operations Management & Process Improvement in Health Care Organizations","AH-Health Administration","3-4 Hours.","Presents an overview of operational management and processes from the administrative perspective. Provides students with knowledge, skills, and tools including lean/six sigma, to implement, facilitate, and coordinate continuous quality improvement activities in health care environments."
"HA 607","Operation Management for Health Services","AH-Health Administration","3 Hours.","Day-to-day operational aspects of health services administration through use of required readings, case studies, class discussions, and class assignments.Prerequisites:HA 602[Min Grade: C]"
"HA 610","Health Systems and Policy for Leaders","AH-Health Administration","1-4 Hour.","Overview of the United States health care system in terms of historical, current, political, organizational, human resources, financial, access-related, and quality dimensions; comparisons of the US health system to other health systems; overview of the US health policy, policy-making, and analysis."
"HA 612","Essentials of Health and Human Disease","AH-Health Administration","3 Hours.","Reviews medical terminology, diseases, and diagnostic and therapeutic procedures for key body systems and the fundamentals of epidemiology."
"HA 613","Health Law","AH-Health Administration","3 Hours.","Selected legal principles and their application to health field. Legal aspects of corporate liability, medical malpractice, admission and discharge processes, medical staff bylaws, informed consent, nursing, patients' rights, medical records, and governmental regulation of personnel and health facilities."
"HA 614","Process Improvement","AH-Health Administration","3 Hours.","Customer driven process involving team and process thinking and application of statistical tools to way in which work is accomplished. Provides students with knowledge, skills, and tools necessary to implement, facilitate, and coordinate continuous quality improvement activities in health care environments."
"HA 616","Biomedical Ethics","AH-Health Administration","3 Hours.","Focuses on the examination of various faith traditions, theories, principles and methods that influence reasoning, analysis and argument in contemporary health care ethics. Investigation of notable cases, the application of Modern Moral Theory, and in depth discourse on current issues in health care ethics (including media) is the cornerstone of the course."
"HA 620","Healthcare Financial Management I","AH-Health Administration","3 Hours.","Application of financial management techniques to decision making for health care providers. Financial management functions and organizations, financial statement analysis, working capital management, present value analysis, capital budgeting, cost of capital, variance analysis, financing techniques, and financial analysis case studies."
"HA 621","Healthcare Financial Management II","AH-Health Administration","3 Hours.","Analytical and synthetic aspects of financial management tools. Project method and case studies used to supplement theory."
"HA 622","Financial Management for Health Professionals","AH-Health Administration","3 Hours.","Financial statements, cost allocation, capital budgeting, time value analysis, reimbursement, financial risk and return, long-term debt financing, capital structure, cost of capital, and analysis of financial performance."
"HA 623","Application of Health Care Finance Principles","AH-Health Administration","3 Hours.","This course gives students opportunities to work on finance related projects in a health care setting.  It is intended for Master of Science in Health Administration students who are pursuing the Health Care Financial Management Certificate.  The students will apply knowledge they have acquired in previous courses in Health Care Financial Management."
"HA 624","Revenue Cycle Management","AH-Health Administration","3 Hours.","The purpose of this course is to expose generalist administrators to information directly related to a modern healthcare revenue cycle and the impact that this process has on the financial viability for all healthcare organizations."
"HA 625","Strategic Planning and Management","AH-Health Administration","3 Hours.","Methods for strategic planning and management of health services organizations. Techniques for determining strategies for unique services, integration of strategy, structure, and administrative systems."
"HA 628","Leadership Development","AH-Health Administration","3 Hours.","Provide tools for the students' professional development and leadership; assist students' research for an administrative residency."
"HA 631","Organization Theory and Behavior","AH-Health Administration","3 Hours.","Introduction to organization theory and behavior with applications to health services organizations. Topics include organizational structure, organization/ environment relationships, organizational performance, power and leadership, perception, attitudes, motivation, communication, and group dynamics."
